,key,value
0,教育部,28
1,台大,23
2,台灣,16
3,校長,13
4,遴選,12
5,管中閔,11
6,聘任,9
7,認定,8
8,遴選委員會,8
9,仇恨,8
10,程序,7
11,層次,7
12,大學,7
13,大校,7
14,如果,7
15,需要,6
16,自己,6
17,可以,6
18,不是,6
19,爭議,6
20,獨董,6
21,不要,6
22,臺灣大學,5
23,台,5
24,正直,5
25,嗎,5
26,或,5
27,照片,5
28,認為,5
29,這些,5
30,身分,5
31,你,5
32,拒絕,5
33,那,5
34,卻,5
35,要求,5
36,上,5
37,因為,5
38,就是,5
39,事實,5
40,從,5
41,沒有,4
42,然而,4
43,要,4
44,被,4
45,利益,4
46,個,4
47,這,4
48,性,4
49,著,4
50,所,4
51,校務會議,4
52,仍,4
53,前,4
54,甚至,4
55,情緒,4
56,會,4
57,敵,4
58,事,4
59,讓,4
60,必須,4
61,澄清,4
62,公文,4
63,合法,4
64,拖,4
65,能,4
66,大,4
67,請,4
68,問題,4
69,違法,4
70,向,3
71,所有,3
72,政治,3
73,一定,3
74,成為,3
75,事件,3
76,根本,3
77,而且,3
78,可能,3
79,遴聘,3
80,法律,3
81,未來,3
82,已經,3
83,曾,3
84,教授,3
85,知道,3
86,像,3
87,做,3
88,什麼,3
89,新,3
90,又,3
91,事項,3
92,競選,3
93,各種,3
94,我們,3
95,圖為,3
96,自主,3
97,已,3
98,任何,3
99,不予,3
100,這次,3
101,年,3
102,別,3
103,金牌,3
104,學術倫理,3
105,下,3
106,難,3
107,看,3
108,但是,3
109,劍,3
110,人士,3
111,悲情,3
112,部分,3
113,先生,3
114,到底,3
115,支持,3
116,公開,3
117,沒,3
118,大春,3
119,要點,3
120,其他,3
121,輸給,3
122,最近,3
123,再,3
124,及,3
125,指控,3
126,風波,3
127,職權,3
128,感謝,3
129,更,3
130,槍,2
131,了解,2
132,持平,2
133,謝謝,2
134,校方,2
135,之論,2
136,今日,2
137,舌,2
138,至今,2
139,每,2
140,難以,2
141,最高,2
142,召開,2
143,判斷,2
144,合法性,2
145,推諉,2
146,輕,2
147,一份,2
148,七道,2
149,干涉,2
150,具有,2
151,必要,2
152,唇,2
153,且,2
154,台大遴選委員會,2
155,當選人,2
156,各方,2
157,並無規定,2
158,清,2
159,社會,2
160,並,2
161,靠,2
162,其中,2
163,再度,2
164,朋友,2
165,規定,2
166,多月,2
167,玩,2
168,唱和,2
169,犯,2
170,相信,2
171,准否,2
172,一,2
173,雖然,2
174,由,2
175,立場,2
176,馬,2
177,克吐溫,2
178,只能,2
179,不同,2
180,感情,2
181,民眾,2
182,參,2
183,臉,2
184,頭十,2
185,活動,2
186,拜年,2
187,落,2
188,打,2
189,姊,2
190,小英學,2
191,一旦,2
192,可否,2
193,時,2
194,不服,2
195,舉辦,2
196,因此,2
197,可,2
198,聯盟,2
199,行動,2
200,本人,2
201,-,2
202,真的,2
203,藍綠,2
204,只有,2
205,兩個,2
206,能力,2
207,遇到,2
208,直到,2
209,產生,2
210,隔,2
211,既,2
212,見,2
213,生存,2
214,理由,2
215,內,2
216,話,2
217,運作,2
218,人類,2
219,始終,2
220,月,2
221,逼迫,2
222,力量,2
223,係,2
224,我關,2
225,組織,2
226,中共,2
227,攝,2
228,才能,2
229,蘇仲泓,2
230,射進,2
231,飛機,2
232,成紙,2
233,求折,2
234,將訴,2
235,欄杆,2
236,資訊,2
237,吃,2
238,比,2
239,本身,2
240,回,2
241,羞辱,2
242,捨,2
243,案例,2
244,把,2
245,扛起,2
246,提出,2
247,家暴,2
248,理念,2
249,不敢,2
250,墳,2
251,以,2
252,回到,2
253,快,2
254,能夠,2
255,只會,2
256,不斷,2
257,地,2
258,呢,2
259,盲目,2
260,補充,2
261,願意,2
262,用,2
263,管,2
264,時候,2
265,學生,2
266,可是,2
267,遴選委員們,2
268,那些,2
269,完成,2
270,這個,2
271,工作,2
272,責任,2
273,逾,2
274,健康,2
275,他們,2
276,復,2
277,還說,2
278,大家,2
279,祝福,2
280,控訴,2
281,吵架,2
282,第一,2
283,參與,2
284,吧,2
285,只要,2
286,只,2
287,應平,2
288,還有,2
289,使得,2
290,小,2
291,調查,2
292,核定,2
293,者,2
294,道,2
295,包括,2
296,受,2
297,哲學系,2
298,議來,2
299,是否,2
300,深處,2
301,天,2
302,鼓勵,2
303,意見,2
304,校務會,2
305,來來,2
306,衝突,2
307,聲明,2
308,孩童,2
309,意識,2
310,說明,2
311,擔任,2
312,近代史,2
313,想,2
314,過程,2
315,傅斯年,2
316,無須,2
317,不管,2
318,學界,2
319,學習,2
320,等,2
321,開始,2
322,合格,2
323,動搖,2
324,殖民,2
325,無,2
326,內心,2
327,操場,1
328,軍警進,1
329,生氣,1
330,總是,1
331,入校,1
332,園抓,1
333,宮澤賢治,1
334,交代,1
335,父親,1
336,之前,1
337,背景,1
338,絕對,1
339,一日,1
340,微笑,1
341,秘書,1
342,聽遍,1
343,炙熱,1
344,保持,1
345,無謂,1
