,key,value
0,教育部,25
1,台大,16
2,遴選,8
3,認定,8
4,程序,6
5,聘任,6
6,爭議,6
7,校長,6
8,拒絕,5
9,就是,4
10,不是,4
11,公文,4
12,遴選委員會,4
13,要求,4
14,事實,4
15,大學,4
16,澄清,4
17,合法,4
18,拖,4
19,可以,4
20,校務會議,4
21,或,4
22,管中閔,4
23,違法,4
24,需要,3
25,事項,3
26,根本,3
27,到底,3
28,學術倫理,3
29,圖為,3
30,著,3
31,金牌,3
32,遴聘,3
33,不予,3
34,請,3
35,向,3
36,問題,3
37,可能,3
38,卻,3
39,法律,3
40,什麼,3
41,合法性,2
42,判斷,2
43,而且,2
44,干涉,2
45,小英學,2
46,只要,2
47,要,2
48,那,2
49,這,2
50,沒,2
51,由,2
52,雖然,2
53,已經,2
54,姊,2
55,拜年,2
56,活動,2
57,仍,2
58,從,2
59,獨董,2
60,不服,2
61,認為,2
62,政治,2
63,自主,2
64,臺灣大學,2
65,行動,2
66,校方,2
67,一旦,2
68,聯盟,2
69,等,2
70,校務會,2
71,議來,2
72,舉辦,2
73,大校,2
74,台,2
75,甚至,2
76,會,2
77,職權,2
78,過程,2
79,要點,2
80,補充,2
81,嗎,2
82,飛機,2
83,責任,2
84,射進,2
85,蘇仲泓,2
86,攝,2
87,不敢,2
88,將訴,2
89,已,2
90,核定,2
91,七道,2
92,調查,2
93,月,2
94,本身,2
95,始終,2
96,求折,2
97,成紙,2
98,欄杆,2
99,自己,2
100,這些,2
101,合格,2
102,先生,2
103,是否,2
104,參,2
105,民眾,2
106,召開,2
107,靠,2
108,隔,2
109,來來,2
110,規定,2
111,說明,2
112,倫理,1
113,難道,1
114,怎樣,1
115,不管,1
116,有後續,1
117,一定,1
118,看,1
119,真的,1
120,違反學術,1
121,承認,1
122,沒話,1
123,看看,1
124,訴訟,1
125,表決,1
126,國家,1
127,方式,1
128,用,1
129,連委員會,1
130,到後來,1
131,推諉,1
132,有種,1
133,怕事,1
134,怎能,1
135,賠償,1
136,被告,1
137,權責,1
138,竟是,1
139,畢,1
140,行政,1
141,成為,1
142,讓,1
143,還有,1
144,你,1
145,吵架,1
146,輕人,1
147,衝突,1
148,年,1
149,像,1
150,出具,1
151,尤其,1
152,還說,1
153,居然,1
154,開會,1
155,學審會,1
156,違反,1
157,最近,1
158,管,1
159,臉,1
160,各大學,1
161,能,1
162,只,1
163,及,1
164,組織,1
165,立,1
166,國,1
167,訂定,1
168,即使,1
169,否決,1
170,指控,1
171,騷擾,1
172,對性,1
173,平會,1
174,或性,1
175,決定,1
176,教師升,1
177,教評,1
178,運作,1
179,能夠,1
180,吞下去,1
181,疑義來,1
182,吧,1
183,鬧劇,1
184,無校,1
185,結束,1
186,扛起,1
187,樣子,1
188,機關,1
189,主管,1
190,個,1
191,別,1
192,所以,1
193,資格,1
194,到校,1
195,逾越,1
196,解釋,1
197,如同,1
198,餘地,1
199,置喙,1
200,產生,1
201,想要,1
202,也許,1
203,嫌,1
204,職務,1
205,執行,1
206,怠,1
207,逃,1
208,難,1
209,實在,1
210,推給,1
211,一直,1
212,應依,1
213,本來,1
214,俱,1
215,重點,1
216,臨時,1
217,解套,1
218,不過,1
219,民主集中制,1
220,遴選委員,1
221,過問,1
222,凡事,1
223,蘇維埃,1
224,最高,1
225,更,1
226,人民,1
227,這就,1
228,採取,1
229,法並,1
230,中華民國,1
231,無關,1
232,錯,1
233,搞,1
234,性來,1
235,人事室,1
236,事件,1
237,意見,1
238,大學法,1
239,圖章,1
240,橡皮,1
241,並,1
242,中,1
243,的確,1
244,看不到,1
245,以此,1
246,無須,1
247,多,1
248,明許,1
249,人家,1
250,再,1
251,發文,1
252,第九,1
253,條規定,1
254,報,1
255,不能,1
256,實質,1
257,監督,1
258,權限,1
259,如果,1
260,確實,1
261,發現,1
262,之處,1
263,當然,1
264,具體,1
265,敘明,1
266,理由,1
267,必須,1
268,補正,1
269,地,1
270,不斷,1
271,只會,1
272,歹戲,1
273,開學,1
274,超過,1
275,一週,1
276,號稱,1
277,台灣,1
278,第一,1
279,國立,1
280,至今,1
281,沒有,1
282,會繼續,1
283,多久,1
284,沒人,1
285,知道,1
286,對此,1
287,拖棚,1
288,未,1
289,恐怕,1
290,要負,1
291,最大,1
292,因為,1
293,早已,1
294,依據,1
295,法相,1
296,關,1
297,遴選出,1
298,教授,1
299,擔,1
300,任校,1
301,並送,1
302,既,1
303,重啟,1
304,這次,1
305,呢,1
306,一步,1
307,公文旅行,1
308,釐,1
309,清,1
310,擔任,1
311,台哥,1
312,大獨,1
313,董,1
314,以及,1
315,所謂,1
316,方面,1
317,早就,1
318,清清楚楚,1
319,有什麼,1
320,進,1
321,這兩件,1
322,多月,1
323,構成,1
324,上,1
325,瑕疵,1
326,它們,1
327,無,1
328,影響,1
329,結果,1
330,針對,1
331,直接,1
332,然後負,1
333,起責任,1
334,立即,1
335,經到,1
336,地步,1
337,然而,1
338,往返,1
339,20180221,1
340,然後在,1
341,-,1
342,上午,1
343,前往,1
344,由部長,1
345,潘文忠表達,1
346,抗議,1
347,遴選產生,1
348,經滿,1
349,兩個,1
350,核備,1
351,沒說,1
352,話,1
353,連下,1
354,反覆,1
355,2,1
356,職資料,1
357,又,1
358,學術,1
359,審議,1
360,委員會,1
361,前,1
362,幾天,1
363,還冒出,1
364,第八道,1
365,密令,1
366,跳過,1
367,用電子,1
368,郵件,1
369,調閱,1
370,兼,1
371,"
",1
